Hour,ZIP_CODE,Date,Medical Emergencies_count,Environmental and Poisoning Emergencies_count,Other_count,Trauma-Related Incidents_count,Mass Casualty or Public Incidents_count,Call_Count,is_covid,VALID_DISPATCH_RSPNS_TIME_INDC,VALID_INCIDENT_RSPNS_TIME_INDC,HELD_INDICATOR,REOPEN_INDICATOR,SPECIAL_EVENT_INDICATOR,STANDBY_INDICATOR,TRANSFER_INDICATOR,INITIAL_SEVERITY_LEVEL_CODE,FINAL_SEVERITY_LEVEL_CODE,DISPATCH_RESPONSE_SECONDS_QY,INCIDENT_RESPONSE_SECONDS_QY,INCIDENT_TRAVEL_TM_SECONDS_QY,POPULATION,BOROUGH
0,10001.0,2014-01-01,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,52.0,813.5,325.0,29079.0,MANHATTAN
1,10001.0,2014-01-01,30.0,0.0,0.0,10.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1158.0,2209.0,429.0,29079.0,MANHATTAN
2,10001.0,2014-01-01,19.0,2.0,5.0,3.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,190.0,779.0,435.0,29079.0,MANHATTAN
3,10001.0,2014-01-01,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3042.0,523.0,398.5,29079.0,MANHATTAN
4,10001.0,2014-01-01,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,21.0,492.0,471.0,29079.0,MANHATTAN
5,10001.0,2014-01-01,13.0,0.0,0.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,256.0,645.0,389.0,29079.0,MANHATTAN
6,10001.0,2014-01-01,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,98.0,155.0,57.0,29079.0,MANHATTAN
7,10001.0,2014-01-01,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,78.0,560.0,482.0,29079.0,MANHATTAN
8,10001.0,2014-01-01,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,45.0,349.0,304.0,29079.0,MANHATTAN
9,10001.0,2014-01-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,45.0,349.0,304.0,29079.0,MANHATTAN
10,10001.0,2014-01-01,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,43.0,576.0,533.0,29079.0,MANHATTAN
11,10001.0,2014-01-01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,43.0,576.0,533.0,29079.0,MANHATTAN
12,10001.0,2014-01-01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,43.0,576.0,533.0,29079.0,MANHATTAN
